bundestag_id;nachname;vorname;wp;fraktion;full_name;twitter_handle;account_type;activity;;
11004710;Esdar;Wiebke;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Wiebke Esdar;wiebkeesdar1;person;1;;
11004267;Esken;Saskia;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Saskia Esken;EskenSaskia;person;1;;
11004711;Espendiller;Michael;20;Alternative für Deutschland;Michael Espendiller;DrMEspendiller;person;1;;
11004712;Faber;Marcus;20;Fraktion der Freien Demokratischen Partei;Marcus Faber;MarcusFaber;person;1;;
11004713;Fahimi;Yasmin;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Yasmin Fahimi;FahimiYasmin;person;1;;
11004269;Färber;Hermann;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Hermann Färber;NA;person;NA;;
11005053;Farle;Robert;20;Alternative für Deutschland;Robert Farle;robert_farle;person;1;;
11005054;Fäscher;Ariane;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Ariane Fäscher;ArianeFaescher;person;1;;
11004270;Fechner;Johannes;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Johannes Fechner;FechnerJohannes;person;0;;
11004271;Feiler;Uwe;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Uwe Feiler;UweFe;person;0;;
11004714;Felser;Peter;20;Alternative für Deutschland;Peter Felser;PeterFelser;person;1;;
11003525;Ferlemann;Enak;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Enak Ferlemann;NA;person;NA;;
11004715;Ferschl;Susanne;20;Fraktion DIE LINKE.;Susanne Ferschl;SusanneFerschl;person;1;;
11005055;Fester;Emilia;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Emilia Fester;emiliafester;person;1;;
11005056;Fiedler;Sebastian;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Sebastian Fiedler;fiedelseb;person;1;;
11004716;Föst;Daniel;20;Fraktion der Freien Demokratischen Partei;Daniel Föst;DFoest;person;1;;
11004033;Franke;Edgar;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Edgar Franke;FrankeEdgar;person;1;;
11004276;Frei;Thorsten;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Thorsten Frei;thorsten_frei;person;1;;
11003530;Fricke;Otto;20;Fraktion der Freien Demokratischen Partei;Otto Fricke;Otto_Fricke;person;1;;
11004719;Friedhoff;Dietmar;20;Alternative für Deutschland;Dietmar Friedhoff;dietmarfriedho1;person;1;;
11003124;Friedrich;Hans-Peter;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Hans-Peter Friedrich;HPFriedrichCSU;person;1;;
11004034;Frieser;Michael;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Michael Frieser;MichaelFrieser;person;1;;
11004721;Frohnmaier;Markus;20;Alternative für Deutschland;Markus Frohnmaier;Frohnmaier_AfD;person;1;;
11004722;Frömming;Götz;20;Alternative für Deutschland;Götz Frömming;GtzFrmming;person;1;;
11005057;Funke;Fabian;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Fabian Funke;funke_fabian;person;1;;
11005058;Funke-Kaiser;Maximilian;20;Fraktion der Freien Demokratischen Partei;Maximilian Funke-Kaiser;max_fksr;person;1;;
11004036;Gädechens;Ingo;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Ingo Gädechens;gadechens;person;1;;
11005059;Gambir;Schahina;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Schahina Gambir;schahinag;person;0;;
11005060;Ganserer;Tessa;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Tessa Ganserer;GansGruen;person;1;;
11005061;Gassner-Herz;Martin;20;Fraktion der Freien Demokratischen Partei;Martin Gassner-Herz;MartinGassner;person;1;;
11004278;Gastel;Matthias;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Matthias Gastel;MatthiasGastel;person;0;;
11004724;Gauland;Alexander;20;Alternative für Deutschland;Alexander Gauland;AlexGauland;person;0;;
11005062;Gava;Manuel;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Manuel Gava;NA;person;NA;;
11004038;Gebhart;Thomas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Thomas Gebhart;thomasgebhart;person;1;;
11003756;Gehring;Kai;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Kai Gehring;KaiGehring;person;1;;
11005063;Geissler;Jonas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Jonas Geissler;GeisslerJonas;person;1;;
11004726;Gelbhaar;Stefan;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Stefan Gelbhaar;StefanGelbhaar;person;1;;
11004039;Gerdes;Michael;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Michael Gerdes;GerdesMdB;person;0;;
11005064;Gerschau;Knut;20;Fraktion der Freien Demokratischen Partei;Knut Gerschau;Knut_Abraham;person;1;;
11003758;Gerster;Martin;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Martin Gerster;NA;person;NA;;
11005065;Gesenhues;Jan-Niclas;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Jan-Niclas Gesenhues;JN_Gesenhues;person;1;;
11004727;Glaser;Albrecht;20;Alternative für Deutschland;Albrecht Glaser;GlaserMdb;person;1;;
11004614;Glöckner;Angelika;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Angelika Glöckner;A_Gloeckner;person;1;;
11005066;Gnauck;Hannes;20;Alternative für Deutschland;Hannes Gnauck;Hannes_Gnauck;person;1;;
