Id;Fraktion
ninawarken;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
anjaweisgerber;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
BerndWestphal4;Fraktion der Sozialdemokratischen Partei Deutschlands
Kai_Whittaker;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
DirkWieseSPD;Fraktion der Sozialdemokratischen Partei Deutschlands
zierke;Fraktion der Sozialdemokratischen Partei Deutschlands
JensZSPD;Fraktion der Sozialdemokratischen Partei Deutschlands
CPetryMdB;Fraktion der Sozialdemokratischen Partei Deutschlands
A_Gloeckner;Fraktion der Sozialdemokratischen Partei Deutschlands
RonjaKemmer;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
RyglewskiS;Fraktion der Sozialdemokratischen Partei Deutschlands
juergencosse;Fraktion der Sozialdemokratischen Partei Deutschlands
uhl_markus;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
AkbulutGokay;Fraktion DIE LINKE.
RenataAlt_MdB;Fraktion der Freien Demokratischen Partei
badulrichmartha;Fraktion BÜNDNIS 90/DIE GRÜNEN
nicole_ae_bauer;Fraktion der Freien Demokratischen Partei
BerndBaumannAfD;Alternative für Deutschland
LieblingXhain;Fraktion BÜNDNIS 90/DIE GRÜNEN
jensbeeck;Fraktion der Freien Demokratischen Partei
olafinderbeek;Fraktion der Freien Demokratischen Partei
MarcBernhardAfD;Alternative für Deutschland
MBiadaczMdB;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
andreasbleckmdb;Alternative für Deutschland
PeterBoehringer;Alternative für Deutschland
JBrandenburgFDP;Fraktion der Freien Demokratischen Partei
BraFDP;Fraktion der Freien Demokratischen Partei
StBrandner;Alternative für Deutschland
JuergenBraunAfD;Alternative für Deutschland
BreherSilvia;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
Brehm_inNBGNord;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
LeniBreymaier;Fraktion der Sozialdemokratischen Partei Deutschlands
Marcus_Buehl;Alternative für Deutschland
busen_mdb;Fraktion der Freien Demokratischen Partei
PetrBystronAfD;Alternative für Deutschland
annachristmann;Fraktion BÜNDNIS 90/DIE GRÜNEN
Tino_Chrupalla;Alternative für Deutschland
JoanaCotar;Alternative für Deutschland
cjcronenberg;Fraktion der Freien Demokratischen Partei
GottfriedCurio;Alternative für Deutschland
anked;Fraktion DIE LINKE.
christianduerr;Fraktion der Freien Demokratischen Partei
Thomas_Ehrhorn;Alternative für Deutschland
TErndl;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
wiebkeesdar1;Fraktion der Sozialdemokratischen Partei Deutschlands
DrMEspendiller;Alternative für Deutschland
MarcusFaber;Fraktion der Freien Demokratischen Partei
FahimiYasmin;Fraktion der Sozialdemokratischen Partei Deutschlands
PeterFelser;Alternative für Deutschland
SusanneFerschl;Fraktion DIE LINKE.
DFoest;Fraktion der Freien Demokratischen Partei
dietmarfriedho1;Alternative für Deutschland
Frohnmaier_AfD;Alternative für Deutschland
GtzFrmming;Alternative für Deutschland
StefanGelbhaar;Fraktion BÜNDNIS 90/DIE GRÜNEN
GlaserMdb;Alternative für Deutschland
KayGottschalk1;Alternative für Deutschland
Timon_Gremmels;Fraktion der Sozialdemokratischen Partei Deutschlands
Erhard_Grundl;Fraktion BÜNDNIS 90/DIE GRÜNEN
hacker_fdp;Fraktion der Freien Demokratischen Partei
M_HarderKuehnel;Alternative für Deutschland
ThomasHeilmann;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
KatrinHelling;Fraktion der Freien Demokratischen Partei
MarcHenrichmann;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
HerbrandMarkus;Fraktion der Freien Demokratischen Partei
torstenherbst;Fraktion der Freien Demokratischen Partei
Martin_Hess_AfD;Alternative für Deutschland
fdp_hessel;Fraktion der Freien Demokratischen Partei
HilseMdb;Alternative für Deutschland
Nicole_Hoechst;Alternative für Deutschland
GeroHocker;Fraktion der Freien Demokratischen Partei
bhoffmann_mdb;Fraktion BÜNDNIS 90/DIE GRÜNEN
HoffmannForest;Fraktion der Freien Demokratischen Partei
Leif_Erik_Holm;Alternative für Deutschland
HoubenReinhard;Fraktion der Freien Demokratischen Partei
Marc_Jongen;Alternative für Deutschland
Ingmar_Jung;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
Kaiser_SPD;Fraktion der Sozialdemokratischen Partei Deutschlands
KirstenKappert;Fraktion BÜNDNIS 90/DIE GRÜNEN
StefanKeuterAfD;Alternative für Deutschland
Kiessling_MdB;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
MdBKlein;Fraktion der Freien Demokratischen Partei
NKleinwaechter;Alternative für Deutschland
DanielaKluckert;Fraktion der Freien Demokratischen Partei
koehler_fdp;Fraktion der Freien Demokratischen Partei
EnricoKomning;Alternative für Deutschland
carina_konrad;Fraktion der Freien Demokratischen Partei
SteffenKotre;Alternative für Deutschland
Dr_Rainer_Kraft;Alternative für Deutschland
KonstantinKuhle;Fraktion der Freien Demokratischen Partei
Lambsdorff;Fraktion der Freien Demokratischen Partei
ulrichlechte;Fraktion der Freien Demokratischen Partei
svenlehmann;Fraktion BÜNDNIS 90/DIE GRÜNEN
helgelindh;Fraktion der Sozialdemokratischen Partei Deutschlands
MdB_Lucassen;Alternative für Deutschland
HeikoMaas;Fraktion der Sozialdemokratischen Partei Deutschlands
TillMansmann;Fraktion der Freien Demokratischen Partei
pascalmeiser;Fraktion DIE LINKE.
Meyer_FDP;Fraktion der Freien Demokratischen Partei
CorinnaMiazga;Alternative für Deutschland
Amira_M_Ali;Fraktion DIE LINKE.
FalkoMohrs;Fraktion der Sozialdemokratischen Partei Deutschlands
ClaudiaMollMdB;Fraktion der Sozialdemokratischen Partei Deutschlands
SiemtjeMdB;Fraktion der Sozialdemokratischen Partei Deutschlands
alexmuellerfdp;Fraktion der Freien Demokratischen Partei
GruenClaudia;Fraktion BÜNDNIS 90/DIE GRÜNEN
mueller_sepp;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
theliberalfrank;Fraktion der Freien Demokratischen Partei
S_Muenzenmaier;Alternative für Deutschland
ZaklinNastic;Fraktion DIE LINKE.
Jan_Nolte_AfD;Alternative für Deutschland
josephineortleb;Fraktion der Sozialdemokratischen Partei Deutschlands
josefoster;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
Gerold_Otten;Alternative für Deutschland
LINKEPELLI;Fraktion DIE LINKE.
victorperli;Fraktion DIE LINKE.
TobiasMPeterka;Alternative für Deutschland
StephPilsinger;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
