Source;Target
BriHasselmann;ArminLaschet
Karl_Lauterbach;ArminLaschet
KatjaMast;ArminLaschet
MuellerChemnitz;ArminLaschet
HenningOtteMdB;ArminLaschet
Petra_Sitte_MdB;ArminLaschet
florian_toncar;ArminLaschet
ArminLaschet;ElisabethWinke4
ElisabethWinke4;ArminLaschet
ArminLaschet;nouripour
nouripour;ArminLaschet
ChristianHirte;ArminLaschet
PeterAumer;ArminLaschet
ArminLaschet;baerbelbas
baerbelbas;ArminLaschet
ArminLaschet;Peter_Beyer
Peter_Beyer;ArminLaschet
SteffenBilger;ArminLaschet
reinhardbrandl;ArminLaschet
ArminLaschet;HeikeBrehmerMdB
HeikeBrehmerMdB;ArminLaschet
rbrinkhaus;ArminLaschet
ArminLaschet;MarcoBuschmann
MarcoBuschmann;ArminLaschet
ArminLaschet;DjirSarai
DjirSarai;ArminLaschet
FrankeEdgar;ArminLaschet
MichaelFrieser;ArminLaschet
gadechens;ArminLaschet
ArminLaschet;thomasgebhart
thomasgebhart;ArminLaschet
NicoleGohlke;ArminLaschet
hahnflo;ArminLaschet
ArminLaschet;juergenhardt
juergenhardt;ArminLaschet
ArminLaschet;MechthildHeil
MechthildHeil;ArminLaschet
ManuelHoeferlin;ArminLaschet
AndrejHunko;ArminLaschet
ArminLaschet;tj_tweets
tj_tweets;ArminLaschet
KaczmarekOliver;ArminLaschet
ArminLaschet;RKiesewetter
RKiesewetter;ArminLaschet
sven_kindler;ArminLaschet
MariaKlSchmeink;ArminLaschet
axel_knoerig;ArminLaschet
Oliver_Krischer;ArminLaschet
UlrichLange;ArminLaschet
LFLindemann;ArminLaschet
ArminLaschet;c_lindner
c_lindner;ArminLaschet
ArminLaschet;JM_Luczak
JM_Luczak;ArminLaschet
OlliLuksic;ArminLaschet
agnieszka_mdb;ArminLaschet
AMattfeldt;ArminLaschet
ArminLaschet;NadineSchoen
NadineSchoen;ArminLaschet
GrueneBeate;ArminLaschet
ArminLaschet;KonstantinNotz
KonstantinNotz;ArminLaschet
oezoguz;ArminLaschet
lisapaus;ArminLaschet
ArminLaschet;Erwin_Rueddel
Erwin_Rueddel;ArminLaschet
ArminLaschet;Pschnieder
Pschnieder;ArminLaschet
s_schwartze;ArminLaschet
StephanThomae;ArminLaschet
ArminLaschet;johannesvogel
johannesvogel;ArminLaschet
ArminLaschet;JoWadephul
JoWadephul;ArminLaschet
tobiaslindner;ArminLaschet
MTodtenhausen;ArminLaschet
reinholdmdb;ArminLaschet
ArminLaschet;ABaerbock
ArminLaschet;fbrantner
fbrantner;ArminLaschet
BernhardDaldrup;ArminLaschet
katdro;ArminLaschet
ArminLaschet;thorsten_frei
thorsten_frei;ArminLaschet
ChristianHaase6;ArminLaschet
MetinHakverdi;ArminLaschet
ArminLaschet;sebast_hartmann
sebast_hartmann;ArminLaschet
ArminLaschet;MatthiasHauer
MatthiasHauer;ArminLaschet
ArminLaschet;StHeck
StHeck;ArminLaschet
ThomasHitschler;ArminLaschet
DJanecek;ArminLaschet
ArminLaschet;AnjaKarliczek
AnjaKarliczek;ArminLaschet
CanselK;ArminLaschet
CarstenKoerber;ArminLaschet
ChrisKuehn_mdb;ArminLaschet
SilkeLaunert;ArminLaschet
ArminLaschet;KLeikert
KLeikert;ArminLaschet
DerLenzMdB;ArminLaschet
AndreaLindholz;ArminLaschet
ArminLaschet;YvonneMagwas
YvonneMagwas;ArminLaschet
IreneMihalic;ArminLaschet
BetMueller;ArminLaschet
Mi_Muentefering;ArminLaschet
AlexanderRadwan;ArminLaschet
Johann_Saathoff;ArminLaschet
JanaSchimke;ArminLaschet
K_SA;ArminLaschet
Schwarz_MdB;ArminLaschet
ArminLaschet;TinoSorge
TinoSorge;ArminLaschet
stadler_svenja;ArminLaschet
StefingerMdB;ArminLaschet
ArminLaschet;StegemannAlbert
StegemannAlbert;ArminLaschet
JoSteiniger;ArminLaschet
ArminLaschet;VolkerUllrich
VolkerUllrich;ArminLaschet
julia_verlinden;ArminLaschet
ArminLaschet;ninawarken
ninawarken;ArminLaschet
anjaweisgerber;ArminLaschet
Kai_Whittaker;ArminLaschet
A_Gloeckner;ArminLaschet
RonjaKemmer;ArminLaschet
ArminLaschet;uhl_markus
uhl_markus;ArminLaschet
badulrichmartha;ArminLaschet
nicole_ae_bauer;ArminLaschet
LieblingXhain;ArminLaschet
ArminLaschet;MBiadaczMdB
MBiadaczMdB;ArminLaschet
JBrandenburgFDP;ArminLaschet
BreherSilvia;ArminLaschet
Brehm_inNBGNord;ArminLaschet
LeniBreymaier;ArminLaschet
busen_mdb;ArminLaschet
JoanaCotar;ArminLaschet
christianduerr;ArminLaschet
TErndl;ArminLaschet
DrMEspendiller;ArminLaschet
MarcusFaber;ArminLaschet
GtzFrmming;ArminLaschet
Timon_Gremmels;ArminLaschet
hacker_fdp;ArminLaschet
ArminLaschet;ThomasHeilmann
ThomasHeilmann;ArminLaschet
ArminLaschet;MarcHenrichmann
MarcHenrichmann;ArminLaschet
HerbrandMarkus;ArminLaschet
Nicole_Hoechst;ArminLaschet
GeroHocker;ArminLaschet
koehler_fdp;ArminLaschet
carina_konrad;ArminLaschet
KonstantinKuhle;ArminLaschet
ArminLaschet;Lambsdorff
Lambsdorff;ArminLaschet
svenlehmann;ArminLaschet
ArminLaschet;HeikoMaas
HeikoMaas;ArminLaschet
pascalmeiser;ArminLaschet
ArminLaschet;mueller_sepp
mueller_sepp;ArminLaschet
theliberalfrank;ArminLaschet
S_Muenzenmaier;ArminLaschet
ZaklinNastic;ArminLaschet
josefoster;ArminLaschet
StephPilsinger;ArminLaschet
christophploss;ArminLaschet
AfDProtschka;ArminLaschet
M_Reichardt_AfD;ArminLaschet
reuther_bernd;ArminLaschet
b_riexinger;ArminLaschet
ManuelaRottman;ArminLaschet
StefanRouenhoff;ArminLaschet
Schmidt_MdB;ArminLaschet
ArminLaschet;felixschreiner
felixschreiner;ArminLaschet
Uwe_Schulz_AfD;ArminLaschet
Th_Seitz_AfD;ArminLaschet
BjoernSimon;ArminLaschet
katrin_staffler;ArminLaschet
starkwatzinger;ArminLaschet
stonie_kiel;ArminLaschet
Beatrix_vStorch;ArminLaschet
MAStrackZi;ArminLaschet
bstrasser;ArminLaschet
ArminLaschet;LindaTeuteberg
EUTheurer;ArminLaschet
alexander_throm;ArminLaschet
UllmannMdB;ArminLaschet
G_UllrichFDP;ArminLaschet
Kerstin_4egge;ArminLaschet
VriesChristoph;ArminLaschet
sandra_weeser;ArminLaschet
Alice_Weidel;ArminLaschet
NicoleWestig;ArminLaschet
ArminLaschet;PaulZiemiak
PaulZiemiak;ArminLaschet
PeterHeidtFDP;ArminLaschet
herr_emmerich;ArminLaschet
Knut_Abraham;ArminLaschet
katjadler;ArminLaschet
AnAudretsch;ArminLaschet
baldy_daniel;ArminLaschet
ArminLaschet;fbanaszak
fbanaszak;ArminLaschet
kathabeck;ArminLaschet
RogerBeckamp;ArminLaschet
m_breilmann;ArminLaschet
YannickBury;ArminLaschet
ArminLaschet;MarioCzaja
MarioCzaja;ArminLaschet
detzer_sandra;ArminLaschet
sonjaeichwede;ArminLaschet
fiedelseb;ArminLaschet
max_fksr;ArminLaschet
JN_Gesenhues;ArminLaschet
goerke_c;ArminLaschet
ArminLaschet;FabianGramling
FabianGramling;ArminLaschet
ArminLaschet;inge_graessle
inge_graessle;ArminLaschet
ArminLaschet;SerapGueler
SerapGueler;ArminLaschet
philipphartewig;ArminLaschet
KathrinAnna;ArminLaschet
NHeselhaus;ArminLaschet
ArminLaschet;FHoppermann
FHoppermann;ArminLaschet
ArminLaschet;LamyaKaddor
RainerKellerWES;ArminLaschet
ArminLaschet;MiKellner
MiKellner;ArminLaschet
ArminLaschet;Ottilie_Klein
Ottilie_Klein;ArminLaschet
AnneKoenig_;ArminLaschet
chantal_kopf;ArminLaschet
PhiKraemer;ArminLaschet
TKuban96;ArminLaschet
ArminLaschet;KuehniKev
KuehniKev;ArminLaschet
Ricarda_Lang;ArminLaschet
Helge_Limburg;ArminLaschet
max_lucks;ArminLaschet
BettinaLugk;ArminLaschet
kristine_lutke;ArminLaschet
HolgerMannLE;ArminLaschet
Kthrn_Mchl_SPD;ArminLaschet
maxmordhorst;ArminLaschet
maxmoerseburg;ArminLaschet
FlorianMM;ArminLaschet
SaraNanni;ArminLaschet
J_Pahlke;ArminLaschet
PaulaPiechotta;ArminLaschet
MartinPlumMdB;ArminLaschet
docredder;ArminLaschet
HenningRehbaum;ArminLaschet
jessi_rosenthal;ArminLaschet
ArminLaschet;TR_Bremen
TR_Bremen;ArminLaschet
CatarinaDosSa;ArminLaschet
jamila_anna;ArminLaschet
sebastian_es_;ArminLaschet
