bundestag_id;nachname;vorname;wp;fraktion;twitter_handle;account_type
11004257;Castellucci;Lars;20;Fraktion der Sozialdemokratischen Partei Deutschlands;larscastellucci;person
11004258;Daldrup;Bernhard;20;Fraktion der Sozialdemokratischen Partei Deutschlands;BernhardDaldrup;person
11004259;Diaby;Karamba;20;Fraktion der Sozialdemokratischen Partei Deutschlands;KarambaDiaby;person
11004261;Dittmar;Sabine;20;Fraktion der Sozialdemokratischen Partei Deutschlands;dittmarsabine;person
11004262;Donth;Michael;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004263;Dröge;Katharina;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;katdro;person
11004264;Durz;Hansjörg;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Hansjoerg_Durz;person
11004267;Esken;Saskia;20;Fraktion der Sozialdemokratischen Partei Deutschlands;EskenSaskia;person
11004269;Färber;Hermann;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004270;Fechner;Johannes;20;Fraktion der Sozialdemokratischen Partei Deutschlands;FechnerJohannes;person
11004271;Feiler;Uwe;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;UweFe;person
11004276;Frei;Thorsten;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;thorsten_frei;person
11004278;Gastel;Matthias;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;MatthiasGastel;person
11004282;Grötsch;Uli;20;Fraktion der Sozialdemokratischen Partei Deutschlands;UliGroetsch;person
11004283;Grundmann;Oliver;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004285;Güntzler;Fritz;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;FGuentzler;person
11004286;Haase;Christian;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;ChristianHaase6;person
11004287;Hagl-Kehl;Rita;20;Fraktion der Sozialdemokratischen Partei Deutschlands;RitaHaglKehl;person
11004288;Hahn;André;20;Fraktion DIE LINKE.;;person
11004289;Hakverdi;Metin;20;Fraktion der Sozialdemokratischen Partei Deutschlands;MetinHakverdi;person
11004291;Hartmann;Sebastian;20;Fraktion der Sozialdemokratischen Partei Deutschlands;sebast_hartmann;person
11004292;Hauer;Matthias;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;MatthiasHauer;person
11004294;Heck;Stefan;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;StHeck;person
11004295;Heidenblut;Dirk;20;Fraktion der Sozialdemokratischen Partei Deutschlands;;person
11004296;Heinrich;Gabriela;20;Fraktion der Sozialdemokratischen Partei Deutschlands;GaHeinrich;person
11004298;Helfrich;Mark;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004303;Hitschler;Thomas;20;Fraktion der Sozialdemokratischen Partei Deutschlands;ThomasHitschler;person
11004304;Hoffmann;Alexander;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Hoffmann_MdB;person
11004305;Hoppenstedt;Hendrik;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004311;Irlstorfer;Erich;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004312;Janecek;Dieter;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;DJanecek;person
11004317;Junge;Frank;20;Fraktion der Sozialdemokratischen Partei Deutschlands;jungeinberlin;person
11004323;Karliczek;Anja;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;AnjaKarliczek;person
11004325;Katzmarek;Gabriele;20;Fraktion der Sozialdemokratischen Partei Deutschlands;GabyKatzmarek;person
11004327;Kippels;Georg;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004328;Kiziltepe;Cansel;20;Fraktion der Sozialdemokratischen Partei Deutschlands;CanselK;person
11004331;Koob;Markus;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;KoobMar;person
11004332;Körber;Carsten;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;CarstenKoerber;person
11004333;Kühn;Christian;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;ChrisKuehn_mdb;person
11004336;Launert;Silke;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;SilkeLaunert;person
11004337;Leikert;Katja;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;KLeikert;person
11004339;Lenz;Andreas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;DerLenzMdB;person
11004342;Lindholz;Andrea;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;AndreaLindholz;person
11004346;Magwas;Yvonne;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;YvonneMagwas;person
11004352;Metzler;Jan;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;JanMetzler;person
11004353;Mihalic;Irene;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;IreneMihalic;person
11004355;Mittag;Susanne;20;Fraktion der Sozialdemokratischen Partei Deutschlands;MittagSusanne;person
11004358;Müller;Bettina;20;Fraktion der Sozialdemokratischen Partei Deutschlands;BetMueller;person
11004359;Müntefering;Michelle;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Mi_Muentefering;person
11004365;Oellers;Wilfried;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;WilfriedOellers;person
11004366;Oßner;Florian;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Florian_Ossner;person
11004368;Özdemir;Mahmut;20;Fraktion der Sozialdemokratischen Partei Deutschlands;oezdemir_spd;person
11004377;Poschmann;Sabine;20;Fraktion der Sozialdemokratischen Partei Deutschlands;;person
11004378;Post;Achim;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Achim_P;person
11004382;Radomski;Kerstin;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004383;Radwan;Alexander;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;AlexanderRadwan;person
11004384;Rainer;Alois;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;AloisRainer;person
11004385;Renner;Martina;20;Fraktion DIE LINKE.;MartinaRenner;person
11004387;Rimkus;Andreas;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Andreas_Rimkus;person
11004388;Rohde;Dennis;20;Fraktion der Sozialdemokratischen Partei Deutschlands;;person
11004389;Rosemann;Martin;20;Fraktion der Sozialdemokratischen Partei Deutschlands;MartinRosemann;person
11004390;Rüffer;Corinna;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;crueffer;person
11004392;Rützel;Bernd;20;Fraktion der Sozialdemokratischen Partei Deutschlands;ruetzelbernd;person
11004393;Saathoff;Johann;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Johann_Saathoff;person
11004395;Schauws;Ulle;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;ulle_schauws;person
11004396;Scheer;Nina;20;Fraktion der Sozialdemokratischen Partei Deutschlands;NinaScheer_SPD;person
11004397;Schiefner;Udo;20;Fraktion der Sozialdemokratischen Partei Deutschlands;UdoSchiefner;person
11004398;Schimke;Jana;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;JanaSchimke;person
11004401;Schmidt;Dagmar;20;Fraktion der Sozialdemokratischen Partei Deutschlands;dieschmidt;person
11004405;Schulz-Asche;Kordula;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;K_SA;person
11004407;Schwarz;Andreas;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Schwarz_MdB;person
11004409;Sorge;Tino;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;TinoSorge;person
11004412;Stadler;Svenja;20;Fraktion der Sozialdemokratischen Partei Deutschlands;stadler_svenja;person
11004413;Stamm-Fibich;Martina;20;Fraktion der Sozialdemokratischen Partei Deutschlands;stamm_fibich;person
11004414;Stefinger;Wolfgang;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;StefingerMdB;person
11004415;Stegemann;Albert;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;StegemannAlbert;person
11004418;Steiniger;Johannes;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;JoSteiniger;person
11004423;Tausend;Claudia;20;Fraktion der Sozialdemokratischen Partei Deutschlands;;person
11004424;Thews;Michael;20;Fraktion der Sozialdemokratischen Partei Deutschlands;michael_thews;person
